term,date,time,presenter,paper,abstract,links
Winter 2022,21 Feb 2022,12:00–12:45,Antonio Stefanizzi,Financial Literacy: A Shield against Financial Frauds?,,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/Stefanizzi_BF_RG_21Feb%20%282%29.pdf"", ""label"": ""Slides""}]"
Winter 2022,07 Mar 2022,13:30–15:00,Maximiliano San Millán,"Nonbank Sectoral reallocation of bank credit, securitization and technological change",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/Maximiliano%20San%20Mill%C3%A1n.pdf"", ""label"": ""Slides""}]"
Winter 2022,07 Mar 2022,13:30–15:00,Vedant Agarwal,Financial Constraints and Environmental Regulation,,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/BF_RG_070322%20%284%29.pdf"", ""label"": ""Slides""}]"
Winter 2022,14 Mar 2022,13:30–15:00,Joël Marbet,Distributional Consequences of a CBDC Introduction,,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/RG_Marbet%20%281%29.pdf"", ""label"": ""Slides""}]"
Winter 2022,14 Mar 2022,13:30–15:00,Martin Farias,Recent trends on bond financing in Europe,,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/20220214Martin.pdf"", ""label"": ""Slides""}]"
Fall 2021,11 Oct 2021,13:30–14:15,Vedant Agarwal,"""Tracking Retail Investor Activity"" [Link]",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/Agarwal_BF_RG_T1.pdf"", ""label"": ""Slides""}]"
Fall 2021,11 Oct 2021,14:15–15:00,Antonio Stefanizzi,"""Cutting Through the Fog: Financial Literacy and Financial Investment Choices"" [Link]",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/Stefanizzi_Banking_and_Finance_RG.pdf"", ""label"": ""Slides""}]"
Fall 2021,25 Oct 2021,13:30–14:15,Martin Farias,The Anatomy of the Transmission of Macroprudential Policies,,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/20211025_Farias.pdf"", ""label"": ""Slides""}]"
Fall 2021,25 Oct 2021,14:15–15:00,Utso Pal Mustafi,Heterogeneity in Risk aversion and the Term Structure of Interest Rates,,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/BFRG_Utso.pdf"", ""label"": ""Slides""}]"
Fall 2021,15 Nov 2021,15:00–15:45,Siema Hashemi,Regulating a model,,
Fall 2021,29 Nov 2021,15:30–16:15,Joël Marbet,Distributional Consequences of a CBDC Introduction,,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/RG_Marbet.pdf"", ""label"": ""Slides""}]"
Fall 2021,29 Nov 2021,16:15–17:00,Dominic Cucic,Nonbank Lending and the Transmission of Monetary Policy,,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/30min_NonbankLending.pdf"", ""label"": ""Slides""}]"
Winter 2021,15 Feb 2021,13:30–14:15,Siema Hashemi,"""Modeling Bank Mergers""",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/Hashemi_BFRG.pdf"", ""label"": ""Slides""}]"
Winter 2021,22 Feb 2021,13:30–14:15,José Gutiérrez,"""Informational-based credit line runs: Evidence from stress test results during the European Debt Crisis""",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/JGA.pdf"", ""label"": ""Slides""}]"
